title_key,n_openalex_work_ids,representative_title,work_ids,years,raw_reference_edges
a nanopass framework for commercial compiler development,2,A nanopass framework for commercial compiler development,W2151326751; W4237677661,2013,9
a practical framework for type inference error explanation,2,A practical framework for type inference error explanation,W2537680118; W3024847434,2016,9
a short counterexample property for safety and liveness verification of fault tolerant distributed algorithms,2,A short counterexample property for safety and liveness verification of fault-tolerant distributed algorithms,W2518474658; W2999609829,"2016, 2017",9
a structural approach to operational semantics,2,A Structural Approach to Operational Semantics,W2118229393; W4210639184,2004,9
a type theory for probability density functions,2,A type theory for probability density functions,W2135181456; W4230647180,2012,9
advances in neural information processing systems 7,2,Advances in neural information processing systems 7,W1981276685; W4212774754,"1996, 1997",9
an abstract interpretation framework for termination,2,An abstract interpretation framework for termination,W2012816689; W4240185672,2012,9
analysis of pointers and structures,2,Analysis of pointers and structures,W1975914482; W4250522981,"1990, 2004",9
applicative bidirectional programming with lenses,2,Applicative bidirectional programming with lenses,W2092546644; W3013964916,2015,9
automated mutual explicit induction proof in separation logic,2,Automated Mutual Explicit Induction Proof in Separation Logic,W2512685755; W2953221142,2016,9
automated synthesis of comprehensive memory model litmus test suites,2,Automated Synthesis of Comprehensive Memory Model Litmus Test Suites,W2605308338; W3019068005,2017,9
automatic patch generation learned from human written patches,2,Automatic patch generation learned from human-written patches,W2076719273; W4255632703,2013,9
automatically proving the correctness of compiler optimizations,2,Automatically proving the correctness of compiler optimizations,W2125346056; W4247332426,2003,9
automating relatively complete verification of higher order functional programs,2,Automating relatively complete verification of higher-order functional programs,W2078578987; W3010566592,2013,9
backtracking interleaving and terminating monad transformers,2,"Backtracking, interleaving, and terminating monad transformers",W1979039632; W2999365512,2005,9
call by push value,2,Call-by-push-value,W4280581646; W49202426,"2003, 2022",9
call by value is dual to call by name,2,Call-by-value is dual to call-by-name,W2053198071; W3033845441,2003,9
cets,2,CETS,W2122757982; W4230177578,2010,9
classical lambda calculus in modern dress,2,Classical lambda calculus in modern dress,W2125224752; W3100695210,"2014, 2015",9
client driven pointer analysis,2,Client-Driven Pointer Analysis,W1586099086; W4245041203,2003,9
codebert a pre trained model for programming and natural languages,2,CodeBERT: A Pre-Trained Model for Programming and Natural Languages,W3008088841; W3098605233,2020,9
cogent,2,Cogent,W2195119025; W4250423498,2016,9
compiler testing via a theory of sound optimisations in the c11 c 11 memory model,2,Compiler testing via a theory of sound optimisations in the C11/C++11 memory model,W2164264520; W4232620454,2013,9
compiler verification meets cross language linking via data abstraction,2,Compiler verification meets cross-language linking via data abstraction,W2074630311; W3014241878,2014,9
cross language compiler benchmarking are we fast yet,2,Cross-language compiler benchmarking: are we fast yet?,W2533990317; W3004910747,2016,9
ct wasm type driven secure cryptography for the web ecosystem,2,CT-wasm: type-driven secure cryptography for the web ecosystem,W2885285030; W3122076682,2019,9
data driven invariant learning for probabilistic programs,2,Data-Driven Invariant Learning for Probabilistic Programs,W3167391728; W4384696681,"2022, 2023",9
deep learning,2,Deep Learning,W2557283755; W2919115771,"2015, 2016",9
demand driven pointer analysis,2,Demand-driven pointer analysis,W2017842497; W3004884024,2001,9
demanded abstract interpretation,2,Demanded abstract interpretation,W3140161220; W3151652064,"2021, 2022",9
diehard,2,DieHard,W2136938453; W4250981365,2006,9
efficient detection of determinacy races in cilk programs,2,Efficient Detection of Determinacy Races in Cilk Programs,W1995085071; W2043003055,"1997, 1999",9
elaborating intersection and union types,2,Elaborating intersection and union types,W2092120865; W2951104382,"2012, 2014",9
end to end verification of stack space bounds for c programs,2,End-to-end verification of stack-space bounds for C programs,W1963833875; W3003830046,2014,9
fault tolerance via idempotence,2,Fault tolerance via idempotence,W2114707853; W3004837745,2013,9
fidex filtering spreadsheet data using examples,2,FIDEX: filtering spreadsheet data using examples,W2536870052; W3082233550,2016,9
formal reasoning about layered monadic interpreters,2,Formal reasoning about layered monadic interpreters,W4293813138; W6894056043,2022,9
formal verification of translation validators,2,Formal verification of translation validators,W1981899763; W3216594676,"2008, 2009",9
functional pearl a sql to c compiler in 500 lines of code,2,Functional pearl: a SQL to C compiler in 500 lines of code,W2070262175; W3009296938,2015,9
gpu concurrency,2,GPU Concurrency,W2153636750; W4240047552,2015,9
guaranteed bounds for posterior inference in universal probabilistic programming,2,Guaranteed Bounds for Posterior Inference in Universal Probabilistic Programming,W4226026446; W4281938159,2022,9
halo,2,HALO,W2120172501; W4241135032,2013,9
handbook of satisfiability,2,Handbook of Satisfiability,W1586677474; W4206807714,2021,9
ifrit,2,IFRit,W2121816623; W4252602476,2012,9
making numerical program analysis fast,2,Making numerical program analysis fast,W2135384260; W3021342296,2015,9
making the future safe for the past,2,Making the future safe for the past,W2137417304; W2998644885,1998,9
mementos,2,Mementos,W2164298032; W4256601485,"2011, 2012",9
modular monadic meta theory,2,Modular monadic meta-theory,W2104422179; W4206260558,2013,9
modular reasoning about heap paths via effectively propositional formulas,2,Modular reasoning about heap paths via effectively propositional formulas,W1976401986; W3030985742,2014,9
modular type classes,2,Modular type classes,W2151275061; W4237270226,2007,9
modular typestate checking of aliased objects,2,Modular typestate checking of aliased objects,W2091712774; W3008053328,2007,9
object race detection,2,Object race detection,W2002179840; W4243016075,2001,9
on a problem of formal logic,2,On a Problem of Formal Logic,W2095689360; W4242049669,"1930, 2009",9
ownership encapsulation and the disjointness of type and effect,2,"Ownership, encapsulation and the disjointness of type and effect",W2052087935; W4250213069,2002,9
ownership types for safe region based memory management in real time java,2,Ownership types for safe region-based memory management in real-time Java,W2116318340; W4238698576,2003,9
privacy integrated queries,2,Privacy integrated queries,W2012873258; W2096870293,"2009, 2010",9
probabilistic termination by monadic affine sized typing,2,Probabilistic Termination by Monadic Affine Sized Typing,W2596582120; W2921909284,"2017, 2019",9
programming with enumerable sets of structures,2,Programming with enumerable sets of structures,W1990069336; W3034246121,2015,9
property directed inference of universal invariants or proving their absence,2,Property-Directed Inference of Universal Invariants or Proving Their Absence,W2603705845; W944431708,"2015, 2017",9
proving acceptability properties of relaxed nondeterministic approximate programs,2,Proving acceptability properties of relaxed nondeterministic approximate programs,W2156745311; W4253627437,2012,9
proving that programs eventually do something good,2,Proving that programs eventually do something good,W2053262709; W3160870209,2007,9
qed at large a survey of engineering of formally verified software,2,QED at Large: A Survey of Engineering of Formally Verified Software,W2972031508; W3104549103,2019,9
quantum supremacy using a programmable superconducting processor,2,Quantum supremacy using a programmable superconducting processor,W2982169647; W3101479050,2019,9
refactoring improving the design of existing code,2,Refactoring: Improving the Design of Existing Code,W2153887189; W2787379525,"2002, 2017",9
relaxed memory concurrency and verified compilation,2,Relaxed-memory concurrency and verified compilation,W2162627428; W4247648759,2011,9
safe haskell,2,Safe haskell,W2296133386; W4256299095,2012,9
software model checking via large block encoding,2,Software model checking via large-block encoding,W2120484044; W2951254455,2009,9
sound complete and scalable path sensitive analysis,2,"Sound, complete and scalable path-sensitive analysis",W2140809377; W3000661531,2008,9
sound probabilistic inference via guide types,2,Sound Probabilistic Inference via Guide Types,W3143845920; W3171599899,2021,9
statically verified refinements for multiparty protocols,2,Statically verified refinements for multiparty protocols,W3107309644; W6893851399,2020,9
subcubic equivalences between path matrix and triangle problems,2,"Subcubic Equivalences between Path, Matrix and Triangle Problems",W2084803275; W2892948282,"2010, 2018",9
system programming in rust,2,System Programming in Rust,W2737641195; W2756350061,2017,9
t ket a retargetable compiler for nisq devices,2,t|ket⟩: a retargetable compiler for NISQ devices,W3013348036; W3104914200,2020,9
tabular,2,Tabular,W2046536636; W4229626860,2014,9
taming the parallel effect zoo,2,Taming the parallel effect zoo,W2025442455; W3178808021,2014,9
temporal higher order contracts,2,Temporal higher-order contracts,W2040615980; W4238764673,2011,9
test driven synthesis,2,Test-driven synthesis,W1965446936; W3004239592,2014,9
the marriage of effects and monads,2,The marriage of effects and monads,W2022518532; W2084804301,"1998, 2003",9
the tao of parallelism in algorithms,2,The tao of parallelism in algorithms,W2098903349; W4232836277,2011,9
there is no fork,2,There is no fork,W2068873267; W3010222729,2014,9
threadscan,2,ThreadScan,W2053990855; W2799964882,"2015, 2017",9
towards haskell in the cloud,2,Towards Haskell in the cloud,W2143847610; W4250303599,2011,9
type classes as objects and implicits,2,Type classes as objects and implicits,W2026323010; W4239384405,2010,9
type inference for record concatenation and multiple inheritance,2,Type inference for record concatenation and multiple inheritance,W2036378583; W2165928807,"1991, 2003",9
types potency and idempotency,2,"Types, potency, and idempotency",W2059860151; W4233636389,2004,9
understanding and detecting real world performance bugs,2,Understanding and detecting real-world performance bugs,W2145458045; W3003877692,2012,9
visualization of test information to assist fault localization,2,Visualization of test information to assist fault localization,W2162045655; W4243127898,2002,9
weakest precondition of unstructured programs,2,Weakest-precondition of unstructured programs,W2152492994; W4233804448,2005,9
weighted pushdown systems and their application to interprocedural dataflow analysis,2,Weighted Pushdown Systems and Their Application to Interprocedural Dataflow Analysis,W4230104298; W4244831445,"2003, 2005",9
z ranking using statistical analysis to counter the impact of static analysis approximations,2,Z-Ranking: Using Statistical Analysis to Counter the Impact of Static Analysis Approximations,W1912598576; W4244945045,2003,9
a fast abstract syntax tree interpreter for r,2,A fast abstract syntax tree interpreter for R,W2026489303; W3033264920,2014,8
a per model of secure information flow in sequential programs,2,A Per Model of Secure Information Flow in Sequential Programs,W1519566437; W1521474031,"1999, 2001",8
a provable time and space efficient implementation of nesl,2,A provable time and space efficient implementation of NESL,W2056714230; W4254297013,1996,8
a study of concurrent real time garbage collectors,2,A study of concurrent real-time garbage collectors,W2126763866; W3015218457,2008,8
adoption and focus,2,Adoption and focus,W2142837069; W3022988980,2002,8
alive infer data driven precondition inference for peephole optimizations in llvm,2,Alive-Infer: data-driven precondition inference for peephole optimizations in LLVM,W2627018084; W4234084457,2017,8
analytical modeling of cache behavior for affine programs,2,Analytical modeling of cache behavior for affine programs,W2779253217; W2898885257,"2017, 2018",8
associated types with class,2,Associated types with class,W2168938117; W4235669620,2005,8
automated detection of serializability violations under weak consistency,2,Automated Detection of Serializability Violations Under Weak Consistency,W2885875591; W2963527490,2018,8
automated expected amortised cost analysis of probabilistic data structures,2,Automated Expected Amortised Cost Analysis of Probabilistic Data Structures,W4281838472; W4289874378,2022,8
automatically classifying benign and harmful data races using replay analysis,2,Automatically classifying benign and harmful data races using replay analysis,W2135023759; W3085225935,2007,8
beautiful differentiation,2,Beautiful differentiation,W2295743822; W4242080388,2009,8
blame assignment for higher order contracts with intersection and union,2,Blame assignment for higher-order contracts with intersection and union,W2044710350; W3118163484,2015,8
cache miss equations,2,Cache miss equations,W2142252451; W2158737060,"1997, 1999",8
central moment analysis for cost accumulators in probabilistic programs,2,Central Moment Analysis for Cost Accumulators in Probabilistic Programs,W3145311906; W3175066792,"2020, 2021",8
checking nfa equivalence with bisimulations up to congruence,2,Checking NFA equivalence with bisimulations up to congruence,W2007281030; W3016349333,2013,8
closed type families with overlapping equations,2,Closed type families with overlapping equations,W2129777450; W4231010649,2014,8
complete functional synthesis,2,Complete functional synthesis,W2105315191; W3149892921,2010,8
conditionally correct superoptimization,2,Conditionally correct superoptimization,W1979660747; W3015790292,2015,8
consistent subtyping for all,2,Consistent Subtyping for All,W2799110842; W2990278710,"2018, 2019",8
context free session type inference,2,Context-Free Session Type Inference,W2595410081; W2922398162,"2017, 2019",8
deadlock analysis of unbounded process networks,2,Deadlock Analysis of Unbounded Process Networks,W196808440; W2294770514,"2014, 2016",8
debugging the data plane with anteater,2,Debugging the data plane with anteater,W2115526539; W4254605472,2011,8
decomposition instead of self composition for proving the absence of timing channels,2,Decomposition instead of self-composition for proving the absence of timing channels,W2626217303; W4248431727,2017,8
deep probabilistic programming,2,Deep Probabilistic Programming,W2574963492; W2962937106,2017,8
deriving divide and conquer dynamic programming algorithms using solver aided transformations,2,Deriving divide-and-conquer dynamic programming algorithms using solver-aided transformations,W2536320597; W4244423119,2016,8
detecting access anomalies in programs with critical sections,2,Detecting access anomalies in programs with critical sections,W2061239425; W3009177928,1991,8
domain specific embedded compilers,2,Domain specific embedded compilers,W2145287505; W3004785238,1999,8
drfx,2,DRFX,W2152621318; W4256623604,2010,8
duet an expressive higher order language and linear type system for statically enforcing differential privacy,2,Duet: An Expressive Higher-order Language and Linear Type System for Statically Enforcing Differential Privacy,W2971812948; W2980019266,2019,8
efficient synthesis of probabilistic programs,2,Efficient synthesis of probabilistic programs,W2048027175; W4235951092,2015,8
emptyheaded,2,EmptyHeaded,W2232813226; W4244579861,"2016, 2017",8
finding application errors and security flaws using pql,2,Finding application errors and security flaws using PQL,W2134429122; W3033482452,2005,8
generative type abstraction and type level computation,2,Generative type abstraction and type-level computation,W2029422023; W4213422035,2011,8
generics of a higher kind,2,Generics of a higher kind,W2156426055; W3006653989,2008,8
gradual typestate,2,Gradual typestate,W2912880222; W4254551474,2011,8
gradual typing embedded securely in javascript,2,Gradual typing embedded securely in JavaScript,W2131242794; W3087747708,2014,8
grammar based whitebox fuzzing,2,Grammar-based whitebox fuzzing,W2065948900; W4232884709,2008,8
harnessing the multicores nested data parallelism in haskell,2,Harnessing the Multicores: Nested Data Parallelism in Haskell,W2163496769; W2244101089,2008,8
high level separation logic for low level code,2,High-level separation logic for low-level code,W2163806865; W4249171328,2013,8
ice based refinement type discovery for higher order functional programs,2,ICE-Based Refinement Type Discovery for Higher-Order Functional Programs,W2798232457; W3046473740,"2018, 2020",8
in datacenter performance analysis of a tensor processing unit,2,In-Datacenter Performance Analysis of a Tensor Processing Unit,W2606722458; W2953212265,2017,8
inductive program synthesis over noisy data,2,Inductive program synthesis over noisy data,W3088135204; W3105239039,2020,8
introspective pushdown analysis of higher order programs,2,Introspective pushdown analysis of higher-order programs,W1990810662; W2952465326,2012,8
iterative optimization in the polyhedral model,2,Iterative optimization in the polyhedral model,W2031775479; W3009106325,2008,8
java without the coffee breaks,2,Java without the coffee breaks,W2146340823; W3006856834,2001,8
lase locating and applying systematic edits by learning from examples,2,LASE: Locating and Applying Systematic Edits by Learning from Examples,W2090111344; W4256028358,2013,8
learning refinement types,2,Learning refinement types,W2089805963; W4253311446,2015,8
ligra,2,Ligra,W2000041758; W4234988573,2013,8
lilac a modal separation logic for conditional probability,2,Lilac: A Modal Separation Logic for Conditional Probability,W4362655455; W4379518563,2023,8
loop transformations,2,Loop transformations,W2157099283; W4231316372,2011,8
masked types for sound object initialization,2,Masked types for sound object initialization,W2065266923; W4236313453,2009,8
mathematical components,2,Mathematical Components,W4287371490; W4297448175,"2021, 2022",8
memsat,2,MemSAT,W2098643127; W4249196662,2010,8
modules abstraction and parametric polymorphism,2,"Modules, abstraction, and parametric polymorphism",W2560961062; W3055243769,"2016, 2017",8
natural semantics,2,Natural Semantics,W2914260883; W4249903311,"1987, 2006",8
off line variable substitution for scaling points to analysis,2,Off-line variable substitution for scaling points-to analysis,W2096587139; W3130008218,2000,8
on probabilistic termination of functional programs with continuous distributions,2,On probabilistic termination of functional programs with continuous distributions,W3155501771; W3166773424,2021,8
on the cost of type tag soundness,2,On the cost of type-tag soundness,W2781403051; W4245545962,2017,8
on the fly detection of instability problems in floating point program execution,2,On-the-fly detection of instability problems in floating-point program execution,W1999858616; W3014268941,2013,8
optimistic parallelism requires abstractions,2,Optimistic parallelism requires abstractions,W2097717378; W4244452791,2007,8
optimizing dynamically dispatched calls with run time type feedback,2,Optimizing dynamically-dispatched calls with run-time type feedback,W2093334386; W2998550884,1994,8
parallel reductions in λ calculus,2,Parallel Reductions in λ-Calculus,W2018181305; W2055655588,"1989, 1995",8
permission based separation logic for message passing concurrency,2,Permission-Based Separation Logic for Message-Passing Concurrency,W2081058753; W3103866264,"2010, 2011",8
precise reasoning for programs using containers,2,Precise reasoning for programs using containers,W2121457325; W4235733131,2011,8
precondition inference from intermittent assertions and application to contracts on collections,2,Precondition Inference from Intermittent Assertions and Application to Contracts on Collections,W2133832333; W3196044867,2011,8
predicate abstraction for software verification,2,Predicate abstraction for software verification,W1972085995; W3019119050,2002,8
probabilistic model for code with decision trees,2,Probabilistic model for code with decision trees,W2533695286; W3022049116,2016,8
probabilistic modular and scalable inference of typestate specifications,2,"Probabilistic, modular and scalable inference of typestate specifications",W2158765820; W4230086982,2011,8
probability type inference for flexible approximate programming,2,Probability type inference for flexible approximate programming,W2049451779; W3035298925,2015,8
programming with permissions in mezzo,2,Programming with permissions in Mezzo,W2138051462; W3008416660,2013,8
progress of concurrent objects with partial methods,2,Progress of concurrent objects with partial methods,W2776176937; W2899076413,"2017, 2018",8
propositions as types,2,Propositions as [Types],W2121730419; W2186501980,"2004, 2015",8
randomized accuracy aware program transformations for efficient approximate computations,2,Randomized accuracy-aware program transformations for efficient approximate computations,W2165964040; W4239588330,2012,8
search align and repair data driven feedback generation for introductory programming exercises,2,"Search, align, and repair: data-driven feedback generation for introductory programming exercises",W2798812031; W3009805852,2018,8
separation logic superposition calculus heap theorem prover,2,Separation logic + superposition calculus = heap theorem prover,W2097958972; W4229793125,2011,8
signature restriction for polymorphic algebraic effects,2,Signature restriction for polymorphic algebraic effects,W3011364959; W3047070038,2020,8
smartcheck,2,SmartCheck,W2017114730; W2805827286,"2014, 2018",8
some properties of predicate transformers,2,Some Properties of Predicate Transformers,W2117436651; W975921262,"1978, 1990",8
staged parser combinators for efficient data processing,2,Staged parser combinators for efficient data processing,W2135641942; W4249680514,2014,8
staging for generic programming in space and time,2,Staging for generic programming in space and time,W2761495671; W4249124297,2017,8
static serializability analysis for causal consistency,2,Static serializability analysis for causal consistency,W2798647014; W3119689521,2018,8
subtyping delimited continuations,2,Subtyping delimited continuations,W2136696721; W4230388769,2011,8
sugarj,2,SugarJ,W2078200248; W4240177611,2011,8
surgical precision jit compilers,2,Surgical precision JIT compilers,W2088840230; W4235832836,2014,8
synthesizing abstract transformers,2,Synthesizing abstract transformers,W3157256658; W4292120995,"2021, 2022",8
tada live compositional reasoning for termination of fine grained concurrent programs,2,TaDA Live: Compositional Reasoning for Termination of Fine-grained Concurrent Programs,W2909610028; W3211705538,"2019, 2021",8
the behavior of gradual types a user study,2,The behavior of gradual types: a user study,W2898103424; W4229581335,"2018, 2020",8
the best of both worlds linear functional programming without compromise,2,The best of both worlds: linear functional programming without compromise,W2510433231; W4238949052,2016,8
the gentle art of levitation,2,The gentle art of levitation,W2012619465; W3003433637,2010,8
the semantics of x86 cc multiprocessor machine code,2,The semantics of x86-CC multiprocessor machine code,W1995825057; W4240975960,2009,8
theorem proving in higher order logics,2,Theorem Proving in Higher Order Logics,W1624142974; W4298072213,"1999, 2009",8
total haskell is reasonable coq,2,Total Haskell is reasonable Coq,W2769582192; W4248709884,"2017, 2018",8
trillium higher order concurrent and distributed separation logic for intensional refinement,2,Trillium: Higher-Order Concurrent and Distributed Separation Logic for Intensional Refinement,W4388717524; W6910589874,"2021, 2024",8
using dynamic analysis to discover polynomial and array invariants,2,Using dynamic analysis to discover polynomial and array invariants,W2098278465; W3140308147,2012,8
variational inference a review for statisticians,2,Variational Inference: A Review for Statisticians,W2225156818; W3101380508,"2017, 2023",8
verified compilation of quantum oracles,2,Verified Compilation of Quantum Oracles,W4225677178; W4307886648,"2021, 2022",8
weakest preconditions in fibrations,2,Weakest Preconditions in Fibrations,W3094043897; W4307511218,"2020, 2022",8
what is decidable about string constraints with the replaceall function,2,What Is Decidable about String Constraints with the ReplaceAll Function,W2768005116; W2963054422,2017,8
when polyhedral transformations meet simd code generation,2,When polyhedral transformations meet SIMD code generation,W1991009705; W3140469843,2013,8
a certified type preserving compiler from lambda calculus to assembly language,2,A certified type-preserving compiler from lambda calculus to assembly language,W2157480301; W3023703923,2007,7
a coq library for internal verification of running times,2,A Coq Library for Internal Verification of Running-Times,W2408675243; W2615175639,"2016, 2017",7
a decentralized model for information flow control,2,A decentralized model for information flow control,W2136296832; W4237990977,1997,7
a decision method for elementary algebra and geometry,2,A Decision Method for Elementary Algebra and Geometry,W1553142094; W4298290503,"1951, 1998",7
a formally verified compiler for lustre,2,A formally verified compiler for Lustre,W2609686781; W3009630147,2017,7
a generic deriving mechanism for haskell,2,A generic deriving mechanism for Haskell,W2007492338; W4251631464,2010,7
a lambda calculus for quantum computation with classical control,2,A Lambda Calculus for Quantum Computation with Classical Control,W1805380992; W2145862486,"2005, 2006",7
a monadic framework for relational verification applied to information security program equivalence and optimizations,2,"A monadic framework for relational verification: applied to information security, program equivalence, and optimizations",W2736133668; W2955321487,"2017, 2018",7
a partially deadlock free typed process calculus,2,A partially deadlock-free typed process calculus,W1547651002; W2148901852,"1998, 2002",7
a polynomial time algorithm for counting integral points in polyhedra when the dimension is fixed,2,A polynomial time algorithm for counting integral points in polyhedra when the dimension is fixed,W2099000978; W2129740858,"1994, 2002",7
a practical soft type system for scheme,2,A practical soft type system for scheme,W2055886480; W4253003117,"1994, 1997",7
a primer on separation logic and automatic program verification and analysis,2,A Primer on Separation Logic (and Automatic Program Verification and Analysis).,W2396349698; W4407735807,2012,7
a randomized dynamic program analysis technique for detecting real deadlocks,2,A randomized dynamic program analysis technique for detecting real deadlocks,W2119494620; W3017218903,2009,7
a scheduling framework for general purpose parallel languages,2,A scheduling framework for general-purpose parallel languages,W2151792522; W4248901744,2008,7
a type system for lock free processes,2,A Type System for Lock-Free Processes,W2065772939; W4213249360,2002,7
a type theory for incremental computational complexity with control flow changes,2,A type theory for incremental computational complexity with control flow changes,W2514317887; W3004472005,2016,7
abstract interpretation of programs as markov decision processes,2,Abstract interpretation of programs as Markov decision processes,W3030098241; W4233556240,2005,7
abstractions from tests,2,Abstractions from tests,W2113964673; W4252015082,2012,7
accepting blame for safe tunneled exceptions,2,Accepting blame for safe tunneled exceptions,W2410807300; W4232769257,2016,7
algebraic effects linearity and quantum programming languages,2,"Algebraic Effects, Linearity, and Quantum Programming Languages",W2117753869; W3118727839,"2014, 2015",7
an abstract monte carlo method for the analysis of probabilistic programs,2,An abstract Monte-Carlo method for the analysis of probabilistic programs,W1975447428; W3101972507,2001,7
an energy interference free hardware software debugger for intermittent energy harvesting systems,2,An Energy-interference-free Hardware-Software Debugger for Intermittent Energy-harvesting Systems,W2324544651; W4241262309,2016,7
an infrastructure for adaptive dynamic optimization,2,An Infrastructure for Adaptive Dynamic Optimization,W2161992906; W4250948891,2003,7
asynchronized concurrency,2,Asynchronized Concurrency,W2139559481; W4230839805,2015,7
automated soundness proofs for dataflow analyses and transformations via local rules,2,Automated soundness proofs for dataflow analyses and transformations via local rules,W2144540543; W4247319954,2005,7
automatic detection of floating point exceptions,2,Automatic detection of floating-point exceptions,W1966151649; W4248729839,2013,7
automatic parallelization of divide and conquer algorithms,2,Automatic parallelization of divide and conquer algorithms,W2064556673; W3129453358,1999,7
automatic software repair,2,Automatic software repair,W2807730630; W4288614128,2018,7
automatically verifying temporal properties of pointer programs with cyclic proof,2,Automatically Verifying Temporal Properties of Pointer Programs with Cyclic Proof,W2735988056; W2967943502,"2017, 2019",7
binary decision diagrams,2,Binary Decision Diagrams,W1994143452; W2804240010,"1978, 2018",7
binders unbound,2,Binders unbound,W2296677810; W4212957569,2011,7
bounded model checking,2,Bounded Model Checking,W1583869287; W2401003083,"2003, 2009",7
bringing extensibility to verified compilers,2,Bringing extensibility to verified compilers,W2126891436; W3124740916,2010,7
bugredux reproducing field failures for in house debugging,2,BugRedux: reproducing field failures for in-house debugging,W2164649341; W3140804348,2012,7
calculus of communicating systems,2,Calculus of Communicating Systems,W2194869982; W378839807,"1991, 2011",7
cast insertion strategies for gradually typed objects,2,Cast insertion strategies for gradually-typed objects,W2028349555; W3132961142,2013,7
categorical logic and type theory,2,Categorical Logic and Type Theory,W1520893111; W4214621180,"1998, 1999",7
cause clue clauses,2,Cause clue clauses,W2040900440; W4240558819,2011,7
cduce,2,CDuce,W2075994573; W4244794541,2003,7
cerise program verification on a capability machine in the presence of untrusted code,2,Cerise: Program Verification on a Capability Machine in the Presence of Untrusted Code,W2966329817; W4386746600,"2021, 2023",7
certified self modifying code,2,Certified self-modifying code,W2112460268; W3020408162,2007,7
clank,2,Clank,W2626726782; W4244662820,2017,7
complexity analysis for a lazy higher order language,2,Complexity analysis for a lazy higher-order language,W1525599808; W1567423028,1990,7
complexity verification using guided theorem enumeration,2,Complexity verification using guided theorem enumeration,W2565511473; W4254838945,"2016, 2017",7
composable asynchronous events,2,Composable asynchronous events,W2148481016; W4244329725,2011,7
compositional pointer and escape analysis for java programs,2,Compositional pointer and escape analysis for Java programs,W2077850509; W3006817828,1999,7
concurrent programming in ml,2,Concurrent Programming in ML,W1495087637; W1971957791,"1999, 2000",7
confined gradual typing,2,Confined gradual typing,W2163533732; W3009600509,2014,7
context bounded analysis for concurrent programs with dynamic creation of threads,2,Context-Bounded Analysis For Concurrent Programs With Dynamic Creation of Threads,W2044772623; W2148778089,"2009, 2011",7
cyclic proofs of program termination in separation logic,2,Cyclic proofs of program termination in separation logic,W1983496086; W3007078806,2008,7
d4 fast concurrency debugging with parallel differential analysis,2,D4: fast concurrency debugging with parallel differential analysis,W2798710664; W4240889175,2018,7
declassification dimensions and principles,2,Declassification: Dimensions and principles,W1699577049; W3024337755,2009,7
defunctionalized interpreters for programming languages,2,Defunctionalized interpreters for programming languages,W2020259928; W4231445347,2008,7
deriving probability density functions from probabilistic functional programs,2,Deriving Probability Density Functions from Probabilistic Functional Programs,W184493040; W2736831476,"2013, 2017",7
design implementation and evaluation of adaptive recompilation with on stack replacement,2,"Design, implementation and evaluation of adaptive recompilation with on-stack replacement",W2118547657; W4239599010,2003,7
determinacy in static analysis for jquery,2,Determinacy in static analysis for jQuery,W2142194171; W3011033587,2014,7
don t sweat the small stuff,2,Don't sweat the small stuff,W2066997989; W3049663443,2014,7
eff directly in ocaml,2,Eff Directly in OCaml,W2907553500; W2914677266,2018,7
efficient monitoring of safety properties,2,Efficient monitoring of safety properties,W2118962824; W3193531217,"2003, 2004",7
elaborator reflection extending idris in idris,2,Elaborator reflection: extending Idris in Idris,W2507856242; W4247440592,2016,7
ethainter a smart contract security analyzer for composite vulnerabilities,2,Ethainter: a smart contract security analyzer for composite vulnerabilities,W3034136313; W3039413122,2020,7
example guided synthesis of relational queries,2,Example-Guided Synthesis of Relational Queries,W3173382652; W3174531561,2021,7
exponential automatic amortized resource analysis,2,Exponential Automatic Amortized Resource Analysis,W3009691493; W3022163212,"2020, 2021",7
extending homotopy type theory with strict equality,2,Extending Homotopy Type Theory with Strict Equality,W2227737483; W2337679798,"2015, 2016",7
floating point verification in hol light the exponential function,2,Floating Point Verification in HOL Light: The Exponential Function,W1670181694; W1672719503,"1997, 2000",7
fortifying macros,2,Fortifying macros,W2293197344; W2912956128,"2010, 2012",7
from control effects to typed continuation passing,2,From control effects to typed continuation passing,W2136545577; W3108746298,2003,7
gklee,2,GKLEE,W2076960126; W4256019627,2012,7
gradual synthesis for static parallelization of single pass array processing programs,2,Gradual synthesis for static parallelization of single-pass array-processing programs,W2626931523; W4251036225,2017,7
grounded copilot how programmers interact with code generating models,2,Grounded Copilot: How Programmers Interact with Code-Generating Models,W4362659486; W4393454178,2023,7
idle time garbage collection scheduling,2,Idle time garbage collection scheduling,W2417309458; W3158712548,2016,7
imperative self adjusting computation,2,Imperative self-adjusting computation,W2163690888; W4235725220,2008,7
implementing first class polymorphic delimited continuations by a type directed selective cps transform,2,Implementing first-class polymorphic delimited continuations by a type-directed selective CPS-transform,W2133051483; W3008353026,2009,7
incremental computation with names,2,Incremental computation with names,W2050204069; W4254363650,2015,7
incremental data flow analysis in a structured program editor,2,Incremental data flow analysis in a structured program editor,W2006084860; W4237340275,1984,7
internally deterministic parallel algorithms can be fast,2,Internally deterministic parallel algorithms can be fast,W1979201594; W4256739278,2012,7
interprocedural may alias analysis for pointers,2,Interprocedural may-alias analysis for pointers,W2102440514; W3003698748,1994,7
