title_key,n_openalex_work_ids,representative_title,work_ids,years,exploded_author_rows
predicate abstraction and refinement for verifying multi threaded programs,2,Predicate abstraction and refinement for verifying multi-threaded programs,W2170487018; W4236040576,2011,6
principles of transactional memory,2,Principles of Transactional Memory,W2064214512; W4302585339,2010,6
prioritise the best variation,2,Prioritise the Best Variation,W3177169713; W4389879425,"2021, 2023",6
probabilistic simulations for probabilistic processes,2,Probabilistic simulations for probabilistic processes,W138290785; W1793726001,"1994, 2005",6
processes in kaffeos isolation resource management and sharing in java,2,"Processes in KaffeOS: isolation, resource management, and sharing in java",W2020136418; W4249622694,2000,6
program verification as satisfiability modulo theories,2,Program Verification as Satisfiability Modulo Theories,W2397041770; W3020819715,"2012, 2018",6
programmable syntax macros,2,Programmable syntax macros,W2036134187; W3004018421,1993,6
programming with abstract data types,2,Programming with abstract data types,W2156076209; W3160136729,1974,6
properties of a type abstract interpreter,2,Properties of a Type Abstract Interpreter,W1607783099; W2978808968,2002,6
protocols for secure computations,2,Protocols for secure computations,W2092422002; W3141585064,1982,6
provable defenses against adversarial examples via the convex outer adversarial polytope,2,Provable defenses against adversarial examples via the convex outer adversarial polytope,W2766462876; W2963496101,2017,6
putting strong linearizability in context preserving hyperproperties in programs that use concurrent objects,2,Putting Strong Linearizability in Context: Preserving Hyperproperties in Programs That Use Concurrent Objects,W2947389486; W2982706767,2019,6
pvs combining specification proof checking and model checking,2,"PVS: Combining specification, proof checking, and model checking",W1627776297; W1659048632,1996,6
quantifying the magic of quantum channels,2,Quantifying the magic of quantum channels,W2921011193; W3101000235,2019,6
quantitative information flow as safety and liveness hyperproperties,2,Quantitative Information Flow as Safety and Liveness Hyperproperties,W2034284430; W2963472894,"2012, 2013",6
quantitative interprocedural analysis,2,Quantitative Interprocedural Analysis,W2055545029; W3027560063,"2014, 2015",6
quantum circuit placement,2,Quantum circuit placement,W2140389278; W2148493470,"2007, 2008",6
quantum simulations of lattice gauge theories using ultracold atoms in optical lattices,2,Quantum simulations of lattice gauge theories using ultracold atoms in optical lattices,W1918709909; W3105228778,2015,6
query processing on probabilistic data a survey,2,Query Processing on Probabilistic Data: A Survey,W2739264497; W4292080426,2017,6
reasoning about networks with many identical finite state processes,2,Reasoning about networks with many identical finite-state processes,W2039812824; W4248849419,"1986, 1987",6
reasoning about online algorithms with weighted automata,2,Reasoning about online algorithms with weighted automata,W2070937106; W4251144709,"2009, 2010",6
recursion principles for syntax with bindings and substitution,2,Recursion principles for syntax with bindings and substitution,W1985926613; W2999700365,2011,6
refinement to imperative hol,2,Refinement to Imperative/HOL,W1955004327; W2762980364,"2015, 2017",6
regression testing minimization selection and prioritization a survey,2,"Regression testing minimization, selection and prioritization: a survey",W2014515160; W4247801242,"2010, 2012",6
regular expression containment,2,Regular expression containment,W2086171783; W4230275554,2011,6
relational parametricity and separation logic,2,Relational Parametricity and Separation Logic,W1511487092; W2001550314,"2007, 2008",6
relational queries over program traces,2,Relational queries over program traces,W2162126440; W4242528790,2005,6
relational semantics of linear logic and higher order model checking,2,Relational semantics of linear logic and higher-order model-checking,W1496335730; W2962716594,2015,6
rely guarantee protocols,2,Rely-Guarantee Protocols,W180196925; W4211046704,2014,6
results on the propositional μ calculus,2,Results on the propositional μ-calculus,W1577412708; W2015640848,"1982, 1983",6
retcon,2,RETCON,W2098359329; W4255372994,2010,6
reverse engineering of object oriented code,2,Reverse engineering of object oriented code,W2053426230; W4301151395,2005,6
revisiting loop fusion in the polyhedral framework,2,Revisiting loop fusion in the polyhedral framework,W2172073571; W3054224424,2014,6
rewrite systems,2,Rewrite systems,W2912818154; W3022794709,"1990, 1991",6
robotics software engineering a perspective from the service robotics domain,2,Robotics software engineering: a perspective from the service robotics domain,W3036758131; W3100344681,2020,6
safe fusion of functional expressions,2,Safe fusion of functional expressions,W2091762291; W3093007008,1992,6
safe software updates via multi version execution,2,Safe software updates via multi-version execution,W2151497944; W4236883605,2013,6
safer unsafe code for net,2,Safer unsafe code for .NET,W2155772078; W3015669913,2008,6
safety and conservativity of definitions in hol and isabelle hol,2,Safety and conservativity of definitions in HOL and Isabelle/HOL,W2780404142; W2898664984,"2017, 2018",6
satisfiability modulo odes,2,Satisfiability Modulo ODEs,W1996609162; W2964309890,2013,6
scalable address spaces using rcu balanced trees,2,Scalable address spaces using RCU balanced trees,W2165772200; W4233831038,2012,6
scaling regression testing to large software systems,2,Scaling regression testing to large software systems,W2144600533; W4238064055,2004,6
scanning polyhedra with do loops,2,Scanning polyhedra with DO loops,W1995270665; W3022287855,1991,6
secure implementation of channel abstractions,2,Secure implementation of channel abstractions,W1841523394; W2049618117,2002,6
segmental duplications organization and impact within the current human genome project assembly,2,Segmental Duplications: Organization and Impact Within the Current Human Genome Project Assembly,W2151318268; W4238737563,2001,6
selective eager execution on the polypath architecture,2,Selective eager execution on the PolyPath architecture,W2153948266; W4236787594,"1998, 2002",6
semantic domains and denotational semantics,2,Semantic Domains and Denotational Semantics,W1857165034; W4244619323,1989,6
shape analysis and applications,2,Shape Analysis and Applications,W2394743012; W56096157,"2002, 2007",6
shared memory performance profiling,2,Shared-memory performance profiling,W1998644982; W4242031649,1997,6
sheriff,2,SHERIFF,W2157352291; W4251870670,2011,6
slipstream processors,2,Slipstream processors,W2143068308; W4255602098,2000,6
smart choices and the selection monad,2,Smart Choices and the Selection Monad,W3042976617; W3174421213,"2021, 2023",6
smt based bounded model checking for embedded ansi c software,2,SMT-Based Bounded Model Checking for Embedded ANSI-C Software,W2106892818; W2949558051,"2009, 2011",6
sound and precise analysis of web applications for injection vulnerabilities,2,Sound and precise analysis of web applications for injection vulnerabilities,W2008158744; W2997473338,2007,6
speculative execution in a distributed file system,2,Speculative execution in a distributed file system,W2047418149; W2121178808,"2005, 2006",6
stability of randomized learning algorithms,2,Stability of Randomized Learning Algorithms,W2131542408; W3005141333,2005,6
staged notational definitions,2,Staged notational definitions,W1777933108; W4244104539,2003,6
static dependent costs for estimating execution time,2,Static dependent costs for estimating execution time,W2043310309; W4250377501,1994,6
stereo matching using belief propagation,2,Stereo matching using belief propagation,W2151646056; W2180905035,"2002, 2003",6
stmbench7,2,STMBench7,W2103933790; W4238758016,2007,6
string analysis as an abstract interpretation,2,String analysis as an abstract interpretation,W1530639173; W4242646994,2011,6
structured formal development with quotient types in isabelle hol,2,Structured Formal Development with Quotient Types in Isabelle/HOL,W2034168949; W4255801913,2010,6
symbolic solving of extended regular expression inequalities,2,Symbolic Solving of Extended Regular Expression Inequalities,W2963977162; W41571726,2014,6
synthesis of operation centric hardware descriptions,2,Synthesis of operation-centric hardware descriptions,W2172052797; W4249778561,"2000, 2002",6
t count optimization and reed muller codes,2,T-Count Optimization and Reed–Muller Codes,W2308615846; W3098637671,"2016, 2019",6
the art of the metaobject protocol,2,The art of the metaobject protocol,W1527793496; W68605010,"1991, 1992",6
the essence of command injection attacks in web applications,2,The essence of command injection attacks in web applications,W2144696387; W3001455961,2006,6
the google file system,2,The Google file system,W2119565742; W4238584892,2003,6
the incremental garbage collection of processes,2,The incremental garbage collection of processes,W1971181882; W3125427430,1977,6
the octahedron abstract domain,2,The Octahedron Abstract Domain,W1774989331; W1968208713,"2004, 2006",6
the path to durable linearizability,2,The Path to Durable Linearizability,W4309137580; W4315630770,"2022, 2023",6
the space complexity of approximating the frequency moments,2,The space complexity of approximating the frequency moments,W2064379477; W2080745194,"1996, 1999",6
the verifast program verifier a tutorial,2,The Verifast Program Verifier: A Tutorial,W3208039908; W6930547358,"2017, 2024",6
three improvements to the top down solver,2,Three Improvements to the Top-Down Solver,W2885805316; W4210555564,"2018, 2021",6
through the looking glass,2,Through the looking glass,W2018490996; W4251597198,2007,6
tiling stencil computations to maximize parallelism,2,Tiling stencil computations to maximize parallelism,W2070961300; W4255560897,2012,6
toward a theory of test data selection,2,Toward a theory of test data selection,W2132840411; W2610485112,1975,6
towards automatic construction of staged compilers,2,Towards automatic construction of staged compilers,W2117070687; W4242524330,2002,6
towards scalable verification of deep reinforcement learning,2,Towards Scalable Verification of Deep Reinforcement Learning,W3196050394; W6927441928,2021,6
transparent lightweight application execution replay on commodity multiprocessor operating systems,2,"Transparent, lightweight application execution replay on commodity multiprocessor operating systems",W2123524055; W2997781304,2010,6
trx a formally verified parser interpreter,2,TRX: A Formally Verified Parser Interpreter,W1689185560; W2949259341,"2010, 2011",6
type based amortized resource analysis with integers and arrays,2,Type-based amortized resource analysis with integers and arrays,W2408755413; W82233118,"2014, 2015",6
type directed partial evaluation,2,Type-directed partial evaluation,W2159591963; W2167075594,"1996, 1999",6
type indexed data types,2,Type-indexed data types,W2145738007; W2493130382,"2002, 2004",6
type inference against races,2,Type Inference Against Races,W1520671672; W1999539882,"2004, 2006",6
typechecking for xml transformers,2,Typechecking for XML transformers,W1981870753; W1995362929,"2000, 2003",6
types regions and effects for safe programming with object oriented parallel frameworks,2,"Types, regions, and effects for safe programming with object-oriented parallel frameworks",W2118373501; W4237849741,2011,6
understanding devops education with grounded theory,2,Understanding DevOps education with Grounded theory,W3095180893; W4252159906,2020,6
unifying graded and parameterised monads,2,Unifying graded and parameterised monads,W3003163255; W3099908169,2020,6
uniqueness typing for resource management in message passing concurrency,2,Uniqueness Typing for Resource Management in Message-Passing Concurrency,W2950251922; W3140772287,2010,6
univalent categories and the rezk completion,2,Univalent categories and the Rezk completion,W2054195362; W4230309943,2015,6
using fully homomorphic encryption for statistical analysis of categorical ordinal and numerical data,2,"Using Fully Homomorphic Encryption for Statistical Analysis of Categorical, Ordinal and Numerical Data",W2614081991; W2949776585,"2016, 2017",6
using structural context to recommend source code examples,2,Using structural context to recommend source code examples,W2169952536; W4240736797,2005,6
value profiling,2,Value profiling,W2295303622; W4251073284,"1997, 2002",6
varan the unbelievable,2,VARAN the Unbelievable,W1984554975; W3018471263,2015,6
varlifter recovering variables and types from bytecode of solidity smart contracts,2,VarLifter: Recovering Variables and Types from Bytecode of Solidity Smart Contracts,W4403222872; W6949274831,2024,6
verifiable hierarchical protocols with network invariants on parametric systems,2,Verifiable hierarchical protocols with network invariants on parametric systems,W2597597082; W4238041321,2016,6
verifiable reinforcement learning via policy extraction,2,Verifiable Reinforcement Learning via Policy Extraction,W2803974723; W2964231903,2018,6
verification algorithms for automated separation logic verifiers,2,Verification Algorithms for Automated Separation Logic Verifiers,W4398157140; W4400973470,2024,6
verification of annotated models from executions,2,Verification of annotated models from executions,W2078162013; W4248646522,2013,6
verifying an effect handler based define by run reverse mode ad library,2,Verifying an Effect-Handler-Based Define-By-Run Reverse-Mode AD Library,W4226262645; W4387876350,"2021, 2023",6
verifying programs with unreliable channels,2,Verifying Programs with Unreliable Channels,W2123160677; W4247648311,"1996, 2002",6
verifying relational properties of functional programs by first order refinement,2,Verifying Relational Properties of Functional Programs by First-Order Refinement,W2077881577; W2299804622,"2014, 2016",6
verifying safety properties of concurrent java programs using 3 valued logic,2,Verifying safety properties of concurrent Java programs using 3-valued logic,W2007541742; W3033386533,2001,6
visibly pushdown transducers,2,Visibly pushdown transducers,W2881695248; W6987983230,"2011, 2018",6
weighted context free language ordered binary decision diagrams,2,Weighted Context-Free-Language Ordered Binary Decision Diagrams,W4378464754; W4403223208,"2023, 2024",6
where should the bugs be fixed more accurate information retrieval based bug localization based on bug reports,2,Where should the bugs be fixed? - more accurate information retrieval-based bug localization based on bug reports,W2116737258; W3149255455,2012,6
witchdoctor ide support for real time auto completion of refactorings,2,WitchDoctor: IDE Support for Real-Time Auto-Completion of Refactorings,W2141682682; W3148057751,"2012, 2013",6
yesterday my program worked today it does not why,2,"Yesterday, my program worked. Today, it does not. Why?",W2148329403; W4232512250,1999,6
a computationally sound mechanized prover for security protocols,2,A Computationally Sound Mechanized Prover for Security Protocols,W1987581799; W2108978217,"2006, 2008",5
a fast fourier transform compiler,2,A fast Fourier transform compiler,W2164197394; W3004184795,1999,5
a framework for type inference with subtyping,2,A framework for type inference with subtyping,W2081992169; W3008834557,1998,5
a sentence generator for testing parsers,2,A sentence generator for testing parsers,W1983878972; W4243412374,1972,5
adaptive random testing,2,Adaptive random testing,W2045002843; W2153649445,"2004, 2011",5
an operational semantics for scheme,2,An operational semantics for Scheme,W2002931343; W2165507557,"1992, 2007",5
call by value non determinism in a linear logic type discipline,2,Call-by-Value Non-determinism in a Linear Logic Type Discipline,W1597392452; W3099560079,2013,5
catch me if you can,2,Catch me if you can,W2019673585; W2096666207,"2009, 2011",5
category theory,2,Category Theory,W2610994252; W4251799386,2006,5
circuit for shor s algorithm using 2n 3 qubits,2,Circuit for Shor's algorithm using 2n+3 qubits,W1624887593; W3004181536,2003,5
coinductive proofs for temporal hyperliveness,2,Coinductive Proofs for Temporal Hyperliveness,W4406235120; W6911726551,"2024, 2025",5
compositional explanation of types and algorithmic debugging of type errors,2,Compositional explanation of types and algorithmic debugging of type errors,W2087272670; W3014343239,2001,5
computer science logic,2,Computer Science Logic,W1768754909; W590934608,"1997, 2009",5
data streams algorithms and applications,2,Data Streams: Algorithms and Applications,W1965972569; W1995484833,2005,5
data types as lattices,2,Data types as lattices,W2093541252; W4211265583,"1976, 2006",5
deriving backtracking monad transformers,2,Deriving backtracking monad transformers,W1970782371; W2999328989,2000,5
deterministic techniques for efficient non deterministic parsers,2,Deterministic techniques for efficient non-deterministic parsers,W1577934069; W4244423947,1974,5
dictionary free overloading by partial evaluation,2,Dictionary-free overloading by partial evaluation,W2068465106; W2702590602,"1994, 1995",5
focusing on pattern matching,2,Focusing on pattern matching,W2076578036; W4253158494,2009,5
fundamental properties of infinite trees,2,Fundamental Properties of Infinite Trees,W1973576343; W4212983671,"1982, 1983",5
handbook of categorical algebra,2,Handbook of Categorical Algebra,W1578654632; W2493333586,1994,5
handbook of theoretical computer science,2,Handbook of theoretical computer science,W2132750992; W2748837517,"1990, 1992",5
hierarchical ordering of sequential processes,2,Hierarchical Ordering of Sequential Processes,W1582831902; W2094159214,1971,5
intersection types and bounded polymorphism,2,Intersection types and bounded polymorphism,W1592716715; W2014351883,"1997, 2006",5
modular specification and verification of a cache coherent interface,2,Modular specification and verification of a cache-coherent interface,W2600316512; W4241192608,2016,5
monads in action,2,Monads in action,W2162298406; W4250682738,2010,5
multi objective optimization,2,Multi-objective Optimization,W2198098822; W4241971694,"2013, 2016",5
open source computer algebra systems,2,Open source computer algebra systems,W2011357920; W4249835868,"2010, 2012",5
optimization directed compiler fuzzing for continuous translation validation,2,Optimization-Directed Compiler Fuzzing for Continuous Translation Validation,W4411267910; W6968341395,2025,5
pipelining with futures,2,Pipelining with Futures,W1995689755; W2044872254,"1997, 1999",5
poster,2,POSTER,W2581643029; W2765944901,2017,5
principles and practice of constraint programming,2,Principles and Practice of Constraint Programming,W2501430986; W4232676016,"1994, 2019",5
probability and computing randomized algorithms and probabilistic analysis,2,Probability and computing: randomized algorithms and probabilistic analysis,W1595409123; W2067883080,"2005, 2006",5
probability inequalities for sums of bounded random variables,2,Probability Inequalities for sums of Bounded Random Variables,W2103012681; W4233413206,"1963, 1994",5
profile guided code positioning,2,Profile guided code positioning,W2116672403; W4248045917,"1990, 2004",5
program inversion,2,Program Inversion,W2913026635; W4251939443,"1978, 1979",5
pure subtype systems,2,Pure subtype systems,W1977820295; W4241473484,2010,5
register allocation and amp spilling via graph coloring,2,Register allocation &amp; spilling via graph coloring,W2118866757; W3148529197,1982,5
relating computational effects by lifting,2,Relating Computational Effects by ⊤ ⊤-Lifting,W2104602076; W2119440710,"2011, 2012",5
relational and algebraic methods in computer science,2,Relational and Algebraic Methods in Computer Science,W3150527377; W4243439029,"2011, 2019",5
search based software engineering,2,Search-based software engineering,W1977321274; W2092382400,"2001, 2012",5
secrecy by typing in security protocols,2,Secrecy by typing in security protocols,W1966219798; W1991354622,"1997, 1999",5
set based analysis of ml programs,2,Set-based analysis of ML programs,W2102389857; W3003760137,1994,5
states effects and operations fundamental notions of quantum theory,2,"States, Effects, and Operations Fundamental Notions of Quantum Theory",W1643301482; W2599980333,"1983, 1986",5
submodules in racket,2,Submodules in racket,W2126328048; W3163435015,2013,5
the c programming language,2,The C++ Programming Language,W2987803397; W4400961909,"1985, 2024",5
the optimal implementation of functional programming languages,2,The optimal implementation of functional programming languages,W1553954213; W2002663537,"1998, 2000",5
the origins of structural operational semantics,2,The origins of structural operational semantics,W2007809070; W4206485129,2004,5
type driven development with idris,2,Type-Driven Development with Idris,W3035097735; W3037986940,"2017, 2020",5
verification model checking and abstract interpretation,2,"Verification, Model Checking, and Abstract Interpretation",W2496613029; W4316662532,"2005, 2023",5
verification of sequential and concurrent programs,2,Verification of Sequential and Concurrent Programs,W2156461803; W2569787747,"1997, 2009",5
views and queries,2,Views and queries,W2066684585; W2074669964,"2005, 2010",5
a coinductive calculus for asynchronous side effecting processes,2,A coinductive calculus for asynchronous side-effecting processes,W2003927942; W2149142030,"2011, 2013",4
a fast and high quality multilevel scheme for partitioning irregular graphs,2,A Fast and High Quality Multilevel Scheme for Partitioning Irregular Graphs,W2070232376; W3009233884,1998,4
a formal comparison of approaches to datatype generic programming,2,A Formal Comparison of Approaches to Datatype-Generic Programming,W2108061437; W3140687576,"2012, 2013",4
a framework for extensible languages,2,A framework for extensible languages,W2151073063; W3161041739,2013,4
a linear time self interpreter of a reversible imperative language,2,A Linear-Time Self-Interpreter of a Reversible Imperative Language,W2531051632; W4412267756,2016,4
a logic of probability with decidable model checking,2,A Logic of Probability with Decidable Model-Checking,W1591783602; W2020997970,"2002, 2006",4
a logic programming language with lambda abstraction function variables and simple unification,2,"A logic programming language with lambda-abstraction, function variables, and simple unification",W1542795482; W2075352622,"1991, 2006",4
a low overhead coherence solution for multiprocessors with private cache memories,2,A low-overhead coherence solution for multiprocessors with private cache memories,W2173730676; W4249203857,"1984, 1998",4
a message passing interpretation of adjoint logic,2,A Message-Passing Interpretation of Adjoint Logic,W2949311029; W3113536295,"2019, 2020",4
a monadic formalization of ml5,2,A Monadic Formalization of ML5,W2110424720; W2963548903,2010,4
a new approach to program testing,2,A new approach to program testing,W2126094482; W2610511123,1975,4
a practical flow sensitive and context sensitive c and c memory leak detector,2,A practical flow-sensitive and context-sensitive C and C++ memory leak detector,W2138369269; W4244800399,2003,4
a statistical approach to texture classification from single images,2,A Statistical Approach to Texture Classification from Single Images,W2108082645; W4239269065,"2004, 2005",4
a type system equivalent to flow analysis,2,A type system equivalent to flow analysis,W2014387690; W2052440299,1995,4
a verification technique for deterministic parallel programs,2,A Verification Technique for Deterministic Parallel Programs,W2604335042; W2762592033,2017,4
accelerating fuzzing through prefix guided execution,2,Accelerating Fuzzing through Prefix-Guided Execution,W4324126469; W4362676235,2023,4
accent,2,Accent,W2117271294; W4205353076,1981,4
achieving out of order performance with almost in order complexity,2,Achieving Out-of-Order Performance with Almost In-Order Complexity,W2163516662; W3151936273,2008,4
adjunction models for call by push value with stacks,2,Adjunction Models For Call-By-Push-Value With Stacks,W2097704879; W4413966238,"2003, 2005",4
an algorithm for the general petri net reachability problem,2,An algorithm for the general Petri net reachability problem,W2011495892; W2164003033,"1981, 1984",4
an analytical model for a gpu architecture with memory level and thread level parallelism awareness,2,An analytical model for a GPU architecture with memory-level and thread-level parallelism awareness,W2167334577; W2997701623,2009,4
an automatic object inlining optimization and its evaluation,2,An automatic object inlining optimization and its evaluation,W1967716562; W3031203502,2000,4
an empirical exploration of refactoring effect on software quality using external quality factors,2,An Empirical Exploration of Refactoring effect on Software Quality using External Quality Factors,W2096483096; W4248809073,"2014, 2015",4
analyzing the performance of code copying virtual machines,2,Analyzing the performance of code-copying virtual machines,W2043313946; W4248578803,2008,4
anatomy of a hardware compiler,2,Anatomy of a hardware compiler,W2031722188; W4246471423,1988,4
approximate computation with outlier detection in topaz,2,Approximate computation with outlier detection in Topaz,W1992071554; W4230025805,2015,4
approximating optimal binary decision trees,2,Approximating Optimal Binary Decision Trees,W1811083715; W2092795460,"2008, 2011",4
automatic detection and repair of errors in data structures,2,Automatic detection and repair of errors in data structures,W2098010463; W3170419972,2003,4
automatic formal verification of mpi based parallel programs,2,Automatic formal verification of MPI-based parallel programs,W2156588754; W4254648976,2011,4
autosynch,2,AutoSynch,W2011487374; W4249443638,2013,4
axe em eliminating spurious states with induction axioms artifact,2,Axe 'Em: Eliminating Spurious States with Induction Axioms (Artifact),W6968113442; W6968520923,2024,4
axioms for concurrent objects,2,Axioms for concurrent objects,W2015121269; W4211195336,1987,4
balanced trees inhabiting functional parallel programming,2,Balanced trees inhabiting functional parallel programming,W2049940842; W4236607251,2011,4
basic category theory for computer scientists,2,Basic category theory for computer scientists,W1533008268; W4300454881,"1991, 1992",4
bayesian artificial intelligence,2,Bayesian Artificial Intelligence,W1989020770; W2501634593,"2003, 2010",4
bayesian inference in dynamic econometric models,2,Bayesian Inference in Dynamic Econometric Models,W1545129310; W1609127433,2000,4
better extensibility through modular syntax,2,Better extensibility through modular syntax,W2098396599; W4237774781,2006,4
beyond induction variables,2,Beyond induction variables,W1999346024; W2078314687,"1992, 1995",4
bounded msc communication,2,Bounded MSC Communication,W1553788986; W2013082250,"2002, 2003",4
bounding normalization time through intersection types,2,Bounding normalization time through intersection types,W2072508414; W3104763574,2013,4
branch prediction for free,2,Branch prediction for free,W1969012464; W4248161256,1993,4
can program profiling support value prediction,2,Can program profiling support value prediction,W2125452276; W4248185003,"1997, 2002",4
cartesian closed 2 categories and permutation equivalence in higher order rewriting,2,Cartesian closed 2-categories and permutation equivalence in higher-order rewriting,W2126306617; W3102303293,"2010, 2013",4
ccs expressions finite state processes and three problems of equivalence,2,"CCS expressions, finite state processes, and three problems of equivalence",W2021473546; W2072538510,"1983, 1990",4
chacha20 and poly1305 for ietf protocols,2,ChaCha20 and Poly1305 for IETF Protocols,W2262479410; W4255560409,"2015, 2018",4
chad for expressive total languages,2,CHAD for expressive total languages,W3203610362; W4362597565,"2021, 2023",4
clustering algorithms for the centralized and local models,2,Clustering Algorithms for the Centralized and Local Models,W2736175436; W2963174403,"2017, 2018",4
code style sheets css for code,2,Code Style Sheets: CSS for Code,W4407583589; W4409311147,2025,4
combining abstract interpreters,2,Combining abstract interpreters,W2140856295; W4232671690,2006,4
combining language and database advances in an object oriented development environment,2,Combining language and database advances in an object-oriented development environment,W1992847198; W3160865900,1987,4
compatible genericity with run time types for the java programming language,2,Compatible genericity with run-time types for the Java programming language,W2035709547; W4231981509,1998,4
computer architecture techniques for power efficiency,2,Computer Architecture Techniques for Power-Efficiency,W2110999878; W4211195804,2008,4
concur 2010 concurrency theory,2,Concur 2010 - Concurrency Theory,W119572049; W2597686129,"2010, 2011",4
concurrent constraint programming,2,Concurrent constraint programming,W1989095004; W2142423074,"1990, 2000",4
conditional lemma discovery and recursion induction in hipster,2,Conditional Lemma Discovery and Recursion Induction in Hipster,W2273920291; W6904961585,"2015, 2024",4
confined types,2,Confined types,W2295471304; W4230409082,1999,4
constraint based synthesis of coupling proofs,2,Constraint-Based Synthesis of Coupling Proofs,W2797085787; W2950092323,2018,4
containment of conjunctive queries on annotated relations,2,Containment of Conjunctive Queries on Annotated Relations,W2058560220; W2150616017,"2009, 2011",4
context and path sensitive memory leak detection,2,Context- and path-sensitive memory leak detection,W2166140339; W3114516458,2005,4
context sensitive domain independent algorithm composition and selection,2,Context-sensitive domain-independent algorithm composition and selection,W2142920127; W4243693775,2006,4
covariance and controvariance a fresh look at an old issue a primer in advanced type systems for learning functional programmers,2,Covariance and Controvariance: a fresh look at an old issue (a primer in advanced type systems for learning functional programmers),W2889794696; W3097352678,"2020, 2022",4
coverage guided test generation for continuous and hybrid systems,2,Coverage-guided test generation for continuous and hybrid systems,W2080932760; W3010528861,2009,4
cryptographically sound implementations for typed information flow security,2,Cryptographically sound implementations for typed information-flow security,W2044338429; W3007816028,2008,4
data flow equations for explicitly parallel programs,2,Data flow equations for explicitly parallel programs,W1982335633; W2998112824,1993,4
data mining and knowledge discovery handbook,2,Data Mining and Knowledge Discovery Handbook,W2002830978; W4205930639,"2005, 2010",4
dcg,2,DCG,W2160620982; W4229813677,1994,4
developing verified programs with dafny,2,Developing verified programs with dafny,W2027294620; W4253467440,2013,4
developments in language theory,2,Developments in Language Theory,W2503239872; W2503434581,"2003, 2016",4
discovery and exploitation of general reductions a constraint based approach,2,Discovery and exploitation of general reductions: a constraint based approach,W2593883698; W4250405455,2017,4
displayed categories,2,Displayed Categories,W2795378980; W4404447154,2019,4
do machine learning models produce typescript types that type check,2,Do Machine Learning Models Produce TypeScript Types That Type Check?,W4321855260; W4384115804,2023,4
dynamic hot data stream prefetching for general purpose programs,2,Dynamic hot data stream prefetching for general-purpose programs,W2095063920; W4242270999,2002,4
dynamic memory disambiguation in the presence of out of order store issuing,2,Dynamic memory disambiguation in the presence of out-of-order store issuing,W2176684476; W2217374585,"1999, 2003",4
dynamine,2,DynaMine,W2124666592; W4254645357,2005,4
efficient chad,2,Efficient CHAD,W4384389552; W6929416592,"2023, 2024",4
efficient milp modelings for sboxes and linear layers of spn ciphers,2,Efficient MILP Modelings for Sboxes and Linear Layers of SPN ciphers,W3097184403; W4398224880,2020,4
efficient parallelisation using combined loop and data transformations,2,Efficient parallelisation using combined loop and data transformations,W2055015894; W3138691618,"1999, 2003",4
elements of style,2,Elements of style,W2136650506; W4254512865,1996,4
elimination of redundant array subscript range checks,2,Elimination of redundant array subscript range checks,W2054939714; W3005590754,1995,4
empirically detecting false test alarms using association rules,2,Empirically detecting false test alarms using association rules,W2009389031; W4233654496,2015,4
enabling static analysis for partial java programs,2,Enabling static analysis for partial java programs,W2011458734; W3014903559,2008,4
energy efficient work stealing language runtimes,2,Energy-efficient work-stealing language runtimes,W2000364684; W3114492435,2014,4
essential language support for generic programming,2,Essential language support for generic programming,W2104076942; W4233840497,2005,4
event based runtime verification of java programs,2,Event-based runtime verification of java programs,W2107412422; W4234921998,2005,4
explicitly heterogeneous metaprogramming with metahaskell,2,Explicitly heterogeneous metaprogramming with MetaHaskell,W2131012971; W3091380453,2012,4
exploiting contextual independence in probabilistic inference,2,Exploiting Contextual Independence In Probabilistic Inference,W2167116921; W3103202110,2003,4
face fast aes ctr mode encryption techniques based on the reuse of repetitive data,2,FACE: Fast AES CTR mode Encryption Techniques based on the Reuse of Repetitive Data,W2895996699; W4241297976,2018,4
fair stateless model checking,2,Fair stateless model checking,W2154266022; W3080174946,2008,4
first class subtypes,2,First-Class Subtypes,W2946823504; W2947762162,2019,4
first steps in synthetic tait computability the objective metatheory of cubical type theory,2,First Steps in Synthetic Tait Computability: The Objective Metatheory of Cubical Type Theory,W4291668274; W6959498146,"2021, 2022",4
focused proof search in the logic of bunched implications,2,Focused Proof-search in the Logic of Bunched Implications,W3139860392; W4287639019,"2020, 2021",4
foundations for virtual types,2,Foundations for Virtual Types,W1525902790; W2049773429,"1999, 2002",4
foundations of modern probability,2,Foundations of Modern Probability,W2017170340; W4301084947,"1998, 2021",4
from network interface to multithreaded web applications,2,From Network Interface to Multithreaded Web Applications,W1981810578; W3043673239,"2014, 2015",4
from single to multi objective auto tuning of programs advantages and implications,2,From Single- to Multi-Objective Auto-Tuning of Programs: Advantages and Implications,W2136461733; W4250317907,2014,4
functional differentiation of computer programs,2,Functional differentiation of computer programs,W2156468295; W2999031440,1998,4
functional pearl a smart view on datatypes,2,Functional pearl: a smart view on datatypes,W2012355983; W3199301239,2015,4
functional programming with structured graphs,2,Functional programming with structured graphs,W2166289497; W4246394701,2012,4
game theoretical semantics insights and prospects,2,Game-Theoretical Semantics: Insights and Prospects,W1993752242; W4250353750,"1982, 1983",4
global code motion global value numbering,2,Global code motion/global value numbering,W2017351599; W2996811965,1995,4
global common subexpression elimination,2,Global common subexpression elimination,W2150082535; W4252737723,1970,4
global instruction scheduling for superscalar machines,2,Global instruction scheduling for superscalar machines,W2118911512; W3003229632,1991,4
